JobId,aj,mj,oj
3531971,22001.0,4124.0,8265.0
3605195,2251.0,834.0,1065.0
3603545,3340.0,2987.0,117.0
3579833,38.0,18.0,20.0
3584893,19945.0,2074.0,16896.0
3690829,5171.0,31.0,4789.0
3553169,2912.0,658.0,1.0
3687417,13282.0,1957.0,8884.0
3668353,13867.0,1254.0,12458.0
3569755,109.0,41.0,44.0
3527135,0.0,0.0,0.0
3687807,12247.0,6270.0,3012.0
3578399,94.0,40.0,29.0
3638919,0.0,0.0,0.0
3551361,28478.0,11513.0,12042.0
3538409,3032.0,330.0,1995.0
3626341,27884.0,802.0,27032.0
3614665,38582.0,3539.0,33095.0
3529631,31861.0,7854.0,17256.0
3525851,49266.0,925.0,47379.0
3695903,25823.0,13.0,25669.0
3503215,8758.0,4358.0,3240.0
3631271,45053.0,5034.0,38809.0
3579383,40.0,4.0,17.0
3648641,6030.0,385.0,5084.0
3446759,413.0,350.0,12.0
3531555,40734.0,7111.0,15132.0
3507687,113446.0,9775.0,99301.0
3605689,3786.0,1208.0,2162.0
3617439,199988.0,44361.0,111712.0
3585367,2473.0,1845.0,614.0
3570487,55262.0,12828.0,41316.0
3558555,102594.0,14259.0,80957.0
3552877,63.0,15.0,48.0
3654761,57.0,22.0,29.0
3580367,249358.0,6223.0,242606.0
3681891,27749.0,188.0,23165.0
3668159,3272.0,135.0,3031.0
3531057,2322.0,102.0,2147.0
3647867,1370.0,381.0,366.0
3687113,8382.0,213.0,6684.0
3619013,318.0,54.0,168.0
3567031,2816.0,121.0,2014.0
3523317,1551.0,362.0,1160.0
3513613,1621.0,143.0,1401.0
3521185,286.0,5.0,225.0
3530133,1881.0,533.0,1292.0
3421887,170.0,0.0,79.0
3540889,10694.0,1553.0,4707.0
3689681,36407.0,6035.0,17436.0
3558327,4451.0,147.0,3452.0
3610491,913.0,216.0,696.0
3673483,400.0,14.0,351.0
3532921,569445.0,53252.0,500538.0
3685259,19825.0,1188.0,16051.0
3639835,47740.0,1360.0,42379.0
3547547,25004.0,1322.0,21679.0
3702329,373.0,85.0,222.0
3530765,44172.0,4744.0,27744.0
3696811,29029.0,9346.0,9537.0
3601765,1009.0,651.0,3.0
3600071,121762.0,33805.0,82506.0
3632719,3576.0,96.0,1533.0
3529233,451.0,25.0,399.0
3624289,90085.0,19998.0,64362.0
3558423,0.0,0.0,0.0
3636081,56725.0,8850.0,1277.0
3538057,92.0,27.0,60.0
3594783,16995.0,3921.0,10465.0
3579703,3052.0,195.0,2723.0
3626237,205.0,32.0,9.0
3579931,1461.0,448.0,966.0
3558283,308.0,10.0,284.0
3647647,662.0,2.0,631.0
3696907,3768.0,290.0,3326.0
3673863,62517.0,1160.0,60557.0
3498731,,,
3630741,0.0,0.0,0.0
3596439,2181.0,263.0,409.0
3547365,0.0,0.0,0.0
