user_fa,job_fa,score
10012,10005,0.012395251
10012,10007,0.005935754
10012,10008,0.002094972
10012,10009,0.002618715
10012,10010,0.01047486
10012,10011,0.007856145
10012,10012,0.288407821
10012,10013,0.171962291
10012,10014,0.313547486
10012,10015,0.002094972
10012,10016,0.000174581
10012,10017,0.000872905
10012,10018,0.04696229
10012,10020,0.012395251
10012,10028,0.008205307
10012,10030,0.000349162
10012,10033,0.030377095
10012,10034,0.007681564
10012,10035,0.000349162
10012,10038,0.002967877
10012,10040,0.000698324
10012,10042,0.000174581
10012,10044,0.000698324
10012,10046,0.000698324
10012,10047,0.000174581
10012,10049,0.000523743
10012,10053,0.035265364
10012,10055,0.000349162
10012,10056,0.004364525
10012,10057,0.008554469
10013,10001,0.0134814287
10013,10003,0.002019485
10013,10005,0.008405425
10013,10007,0.0064678107
10013,10008,0.001146195
10013,10009,0.001228065
10013,10010,0.0089239417
10013,10011,0.002783615
10013,10012,0.0343312506
10013,10013,0.6259039933
10013,10014,0.1397265503
10013,10015,0.0021832273
10013,10016,0.0002456127
10013,10017,0.001200776
10013,10018,0.0154190433
10013,10020,0.0183664003
10013,10028,0.008405425
10013,10030,0.0001364517
10013,10033,0.0257075024
10013,10034,0.003629616
10013,10035,0.000163742
10013,10038,0.001009743
10013,10040,0.0003547743
10013,10042,0.0001910327
10013,10044,0.000600387
10013,10046,0.001064323
10013,10047,8.1871e-05
10013,10049,0.001064323
10013,10053,0.023196791
10013,10055,0.000245613
10013,10056,0.0454657097
10013,10057,0.0068498749
10014,10001,0.0449401201
10014,10003,0.009161676
10014,10005,0.0083233531
10014,10007,0.039461079
10014,10008,0.004041916
10014,10009,0.008023952
10014,10010,0.0194011973
10014,10011,0.002634731
10014,10012,0.0091616762
10014,10013,0.0355688623
10014,10014,0.5603293405
10014,10015,0.0020059881
10014,10016,0.0005089821
10014,10017,0.004461078
10014,10018,0.025209581
10014,10020,0.0292814363
10014,10028,0.006526946
10014,10030,0.000898204
10014,10033,0.0991317373
10014,10034,0.000658683
10014,10035,0.000449102
10014,10038,0.006976048
10014,10040,0.000748503
10014,10042,0.002994012
10014,10044,0.00245509
10014,10046,0.000778443
10014,10049,0.000778443
10014,10050,0.0001197605
10014,10053,0.0390718561
10014,10055,0.000958084
10014,10056,0.005449102
10014,10057,0.0294910173
10015,10001,0.014473684
10015,10003,0.005263157
10015,10005,0.057894737
10015,10007,0.011842105
10015,10008,0.003947368
10015,10009,0.006578947
10015,10010,0.015789474
10015,10011,0.001315789
10015,10012,0.001315789
10015,10013,0.05131579
10015,10014,0.165789474
10015,10015,0.388157895
10015,10016,0.003947368
10015,10017,0.001315789
10015,10018,0.010526316
10015,10020,0.089473684
10015,10028,0.001315789
10015,10030,0.001315789
10015,10033,0.04868421
10015,10034,0.001315789
10015,10042,0.001315789
10015,10044,0.003947368
10015,10046,0.013157894
10015,10049,0.011842105
10015,10053,0.023684211
10015,10056,0.052631579
10015,10057,0.011842105
