job_minexp,normalised_experience,min_exp_score
3 Yrs,14 Yrs,0.007199424
3 Yrs,15 Yrs,0.008279338
3 Yrs,16 Yrs,0.005849532
3 Yrs,17 Yrs,0.004139669
3 Yrs,18 Yrs,0.003779698
3 Yrs,19 Yrs,0.001439885
3 Yrs,2 Yrs,0.079643629
3 Yrs,20 Yrs,0.00512959
3 Yrs,21 Yrs,0.002159827
3 Yrs,22 Yrs,0.001709863
3 Yrs,23 Yrs,0.001169906
3 Yrs,24 Yrs,0.001079914
3 Yrs,3 Yrs,0.197084233
3 Yrs,4 Yrs,0.149028078
3 Yrs,5 Yrs,0.141108711
3 Yrs,6 Yrs,0.094222462
3 Yrs,7 Yrs,0.063264939
3 Yrs,8 Yrs,0.050575954
3 Yrs,9 Yrs,0.027267819
3 Yrs,> 25 Yrs,0.007649388
4 Yrs,0 Yr,0.027569392
4 Yrs,1 Yr,0.024193548
4 Yrs,10 Yrs,0.041072768
4 Yrs,11 Yrs,0.020255064
4 Yrs,12 Yrs,0.018004501
4 Yrs,13 Yrs,0.013128282
4 Yrs,14 Yrs,0.013503376
4 Yrs,15 Yrs,0.015753938
4 Yrs,16 Yrs,0.009189797
4 Yrs,17 Yrs,0.006189047
4 Yrs,18 Yrs,0.008627157
4 Yrs,19 Yrs,0.006564141
4 Yrs,2 Yrs,0.042573143
4 Yrs,20 Yrs,0.009564891
4 Yrs,21 Yrs,0.003938485
4 Yrs,22 Yrs,0.003938485
4 Yrs,23 Yrs,0.00300075
4 Yrs,24 Yrs,0.003938485
4 Yrs,3 Yrs,0.055513878
4 Yrs,4 Yrs,0.132408102
4 Yrs,5 Yrs,0.141972993
4 Yrs,6 Yrs,0.117966992
4 Yrs,7 Yrs,0.094711178
4 Yrs,8 Yrs,0.098649662
4 Yrs,9 Yrs,0.071642911
4 Yrs,> 25 Yrs,0.016129032
5 Yrs,0 Yr,0.024179944
5 Yrs,1 Yr,0.02099344
5 Yrs,10 Yrs,0.103842549
5 Yrs,11 Yrs,0.025117151
5 Yrs,12 Yrs,0.023617619
5 Yrs,13 Yrs,0.017244611
5 Yrs,14 Yrs,0.019306467
5 Yrs,15 Yrs,0.015932521
5 Yrs,16 Yrs,0.015557638
5 Yrs,17 Yrs,0.008622306
5 Yrs,18 Yrs,0.00787254
5 Yrs,19 Yrs,0.004123711
5 Yrs,2 Yrs,0.01836926
5 Yrs,20 Yrs,0.011433927
5 Yrs,21 Yrs,0.004123711
5 Yrs,22 Yrs,0.005060918
5 Yrs,23 Yrs,0.002061856
5 Yrs,24 Yrs,0.002811621
5 Yrs,3 Yrs,0.040487348
5 Yrs,4 Yrs,0.051733833
5 Yrs,5 Yrs,0.141330834
5 Yrs,6 Yrs,0.119587629
5 Yrs,7 Yrs,0.109090909
5 Yrs,8 Yrs,0.103655108
5 Yrs,9 Yrs,0.08547329
5 Yrs,> 25 Yrs,0.01836926
6 Yrs,0 Yr,0.038069341
6 Yrs,1 Yr,0.024473148
6 Yrs,10 Yrs,0.102651258
6 Yrs,11 Yrs,0.042828008
6 Yrs,12 Yrs,0.044187627
6 Yrs,13 Yrs,0.017675051
6 Yrs,14 Yrs,0.018354861
6 Yrs,15 Yrs,0.02039429
6 Yrs,16 Yrs,0.012236574
6 Yrs,17 Yrs,0.006798097
6 Yrs,18 Yrs,0.008837525
6 Yrs,19 Yrs,0.008157716
6 Yrs,2 Yrs,0.017675051
6 Yrs,20 Yrs,0.012236574
6 Yrs,21 Yrs,0.006118287
6 Yrs,22 Yrs,0.006798097
6 Yrs,23 Yrs,0.004758668
6 Yrs,24 Yrs,0.005438477
6 Yrs,3 Yrs,0.033310673
6 Yrs,4 Yrs,0.046906866
6 Yrs,5 Yrs,0.064581917
6 Yrs,6 Yrs,0.104010877
6 Yrs,7 Yrs,0.11760707
6 Yrs,8 Yrs,0.110129164
6 Yrs,9 Yrs,0.099252209
6 Yrs,> 25 Yrs,0.026512576
7 Yrs,0 Yr,0.021563342
7 Yrs,1 Yr,0.008984726
7 Yrs,10 Yrs,0.123090746
7 Yrs,11 Yrs,0.073674753
7 Yrs,12 Yrs,0.066486972
7 Yrs,13 Yrs,0.026055705
7 Yrs,14 Yrs,0.019766397
7 Yrs,15 Yrs,0.02785265
7 Yrs,16 Yrs,0.011680144
7 Yrs,17 Yrs,0.010781671
7 Yrs,18 Yrs,0.014375562
7 Yrs,19 Yrs,0.008086253
7 Yrs,2 Yrs,0.015274034
7 Yrs,20 Yrs,0.026954178
7 Yrs,21 Yrs,0.010781671
7 Yrs,22 Yrs,0.010781671
7 Yrs,23 Yrs,0.002695418
7 Yrs,24 Yrs,0.004492363
7 Yrs,3 Yrs,0.018867925
7 Yrs,4 Yrs,0.032345013
7 Yrs,5 Yrs,0.045822102
7 Yrs,6 Yrs,0.052111411
7 Yrs,7 Yrs,0.088050314
7 Yrs,8 Yrs,0.132973944
7 Yrs,9 Yrs,0.107816712
7 Yrs,> 25 Yrs,0.038634322
8 Yrs,0 Yr,0.030120482
8 Yrs,1 Yr,0.011295181
8 Yrs,10 Yrs,0.137801205
8 Yrs,11 Yrs,0.073042169
8 Yrs,12 Yrs,0.093373494
8 Yrs,13 Yrs,0.057228916
8 Yrs,14 Yrs,0.034638554
8 Yrs,15 Yrs,0.036144578
8 Yrs,16 Yrs,0.024849398
8 Yrs,17 Yrs,0.017319277
8 Yrs,18 Yrs,0.021837349
8 Yrs,19 Yrs,0.012048193
8 Yrs,2 Yrs,0.018072289
8 Yrs,20 Yrs,0.015060241
8 Yrs,21 Yrs,0.00753012
8 Yrs,22 Yrs,0.009036145
8 Yrs,23 Yrs,0.005271084
8 Yrs,24 Yrs,0.00376506
8 Yrs,3 Yrs,0.017319277
8 Yrs,4 Yrs,0.016566265
8 Yrs,5 Yrs,0.027108434
8 Yrs,6 Yrs,0.045180723
8 Yrs,7 Yrs,0.048192771
8 Yrs,8 Yrs,0.114457831
8 Yrs,9 Yrs,0.103915663
8 Yrs,> 25 Yrs,0.018825301
9 Yrs,0 Yr,0.018134715
9 Yrs,1 Yr,0.005181347
9 Yrs,10 Yrs,0.121761658
9 Yrs,11 Yrs,0.085492228
9 Yrs,12 Yrs,0.116580311
9 Yrs,13 Yrs,0.111398964
9 Yrs,14 Yrs,0.077720207
9 Yrs,15 Yrs,0.056994819
9 Yrs,16 Yrs,0.020725389
9 Yrs,17 Yrs,0.018134715
9 Yrs,18 Yrs,0.031088083
9 Yrs,19 Yrs,0.007772021
9 Yrs,2 Yrs,0.005181347
9 Yrs,20 Yrs,0.031088083
9 Yrs,21 Yrs,0.010362694
9 Yrs,22 Yrs,0.028497409
9 Yrs,23 Yrs,0.018134715
9 Yrs,24 Yrs,0.023316062
9 Yrs,3 Yrs,0.010362694
9 Yrs,4 Yrs,0.007772021
9 Yrs,5 Yrs,0.012953368
9 Yrs,6 Yrs,0.002590674
9 Yrs,7 Yrs,0.020725389
9 Yrs,8 Yrs,0.020725389
9 Yrs,9 Yrs,0.069948187
9 Yrs,> 25 Yrs,0.067357513
<1 Yr,0 Yr,0.26708878
<1 Yr,1 Yr,0.231004902
<1 Yr,10 Yrs,0.007421024
<1 Yr,11 Yrs,0.002859477
<1 Yr,12 Yrs,0.004084967
<1 Yr,13 Yrs,0.001770153
<1 Yr,14 Yrs,0.002859477
<1 Yr,15 Yrs,0.002995643
<1 Yr,16 Yrs,0.001429739
<1 Yr,17 Yrs,0.000953159
<1 Yr,18 Yrs,0.000748911
<1 Yr,19 Yrs,0.000816993
<1 Yr,2 Yrs,0.177355664
<1 Yr,20 Yrs,0.001157407
<1 Yr,21 Yrs,0.000340414
<1 Yr,22 Yrs,0.000953159
<1 Yr,23 Yrs,0.000408497
<1 Yr,24 Yrs,0.000272331
<1 Yr,3 Yrs,0.114311002
<1 Yr,4 Yrs,0.07128268
<1 Yr,5 Yrs,0.053581155
<1 Yr,6 Yrs,0.021309913
<1 Yr,7 Yrs,0.013616558
<1 Yr,8 Yrs,0.011369826
<1 Yr,9 Yrs,0.008033769
<1 Yr,> 25 Yrs,0.001974401
> 25 Yrs,2 Yrs,0.333333333
> 25 Yrs,21 Yrs,0.166666667
> 25 Yrs,24 Yrs,0.166666667
> 25 Yrs,5 Yrs,0.166666667
> 25 Yrs,> 25 Yrs,0.166666667
