job_maxexp,user_experience,max_exp_score
17 Yrs,17 Yrs,0.115384615
17 Yrs,18 Yrs,0.038461538
17 Yrs,19 Yrs,0.038461538
17 Yrs,20 Yrs,0.038461538
17 Yrs,24 Yrs,0.038461538
17 Yrs,3 Yrs,0.038461538
17 Yrs,5 Yrs,0.038461538
17 Yrs,7 Yrs,0.038461538
18 Yrs,10 Yrs,0.05982906
18 Yrs,11 Yrs,0.034188034
18 Yrs,12 Yrs,0.05982906
18 Yrs,13 Yrs,0.094017094
18 Yrs,14 Yrs,0.128205128
18 Yrs,15 Yrs,0.094017094
18 Yrs,16 Yrs,0.094017094
18 Yrs,17 Yrs,0.076923077
18 Yrs,18 Yrs,0.102564103
18 Yrs,19 Yrs,0.068376068
18 Yrs,20 Yrs,0.042735043
18 Yrs,21 Yrs,0.025641026
18 Yrs,22 Yrs,0.017094017
18 Yrs,24 Yrs,0.008547009
18 Yrs,9 Yrs,0.034188034
18 Yrs,> 25 Yrs,0.05982906
19 Yrs,10 Yrs,0.076923077
19 Yrs,11 Yrs,0.038461538
19 Yrs,12 Yrs,0.076923077
19 Yrs,13 Yrs,0.115384615
19 Yrs,14 Yrs,0.038461538
19 Yrs,16 Yrs,0.038461538
19 Yrs,17 Yrs,0.192307692
19 Yrs,18 Yrs,0.038461538
19 Yrs,19 Yrs,0.038461538
19 Yrs,21 Yrs,0.038461538
19 Yrs,3 Yrs,0.038461538
19 Yrs,5 Yrs,0.076923077
19 Yrs,6 Yrs,0.115384615
19 Yrs,8 Yrs,0.038461538
19 Yrs,> 25 Yrs,0.038461538
2 Yrs,0 Yr,0.433615538
2 Yrs,1 Yr,0.234960159
2 Yrs,10 Yrs,0.006075697
2 Yrs,11 Yrs,0.002888446
2 Yrs,12 Yrs,0.003386454
2 Yrs,13 Yrs,0.001842629
2 Yrs,14 Yrs,0.001593625
2 Yrs,15 Yrs,0.002689243
2 Yrs,16 Yrs,0.001195219
2 Yrs,17 Yrs,0.00064741
2 Yrs,18 Yrs,0.000846614
2 Yrs,19 Yrs,0.000298805
2 Yrs,2 Yrs,0.167081673
2 Yrs,20 Yrs,0.000697211
2 Yrs,21 Yrs,0.000448207
2 Yrs,22 Yrs,0.000398406
2 Yrs,23 Yrs,0.000448207
2 Yrs,24 Yrs,0.000149402
2 Yrs,3 Yrs,0.054731076
2 Yrs,4 Yrs,0.028386454
2 Yrs,5 Yrs,0.020966135
2 Yrs,6 Yrs,0.013695219
2 Yrs,7 Yrs,0.008416335
2 Yrs,8 Yrs,0.008217131
2 Yrs,9 Yrs,0.00498008
2 Yrs,> 25 Yrs,0.001344622
20 Yrs,0 Yr,0.023305085
20 Yrs,1 Yr,0.006355932
20 Yrs,10 Yrs,0.043079096
20 Yrs,11 Yrs,0.027542373
20 Yrs,12 Yrs,0.051553672
20 Yrs,13 Yrs,0.040254237
20 Yrs,14 Yrs,0.040254237
20 Yrs,15 Yrs,0.09180791
20 Yrs,16 Yrs,0.073446328
20 Yrs,17 Yrs,0.048728814
20 Yrs,18 Yrs,0.064265537
20 Yrs,19 Yrs,0.043785311
20 Yrs,2 Yrs,0.015536723
20 Yrs,20 Yrs,0.084745763
20 Yrs,21 Yrs,0.03319209
20 Yrs,22 Yrs,0.032485876
20 Yrs,23 Yrs,0.015536723
20 Yrs,24 Yrs,0.019774011
20 Yrs,3 Yrs,0.013418079
20 Yrs,4 Yrs,0.005649718
20 Yrs,5 Yrs,0.014124294
20 Yrs,6 Yrs,0.013418079
20 Yrs,7 Yrs,0.013418079
20 Yrs,8 Yrs,0.025423729
20 Yrs,9 Yrs,0.028248588
20 Yrs,> 25 Yrs,0.130649718
21 Yrs,10 Yrs,0.04
21 Yrs,11 Yrs,0.04
21 Yrs,12 Yrs,0.04
21 Yrs,13 Yrs,0.04
21 Yrs,14 Yrs,0.12
21 Yrs,15 Yrs,0.16
21 Yrs,16 Yrs,0.08
21 Yrs,17 Yrs,0.04
21 Yrs,19 Yrs,0.04
21 Yrs,2 Yrs,0.04
21 Yrs,20 Yrs,0.04
21 Yrs,21 Yrs,0.2
21 Yrs,22 Yrs,0.04
21 Yrs,24 Yrs,0.04
21 Yrs,6 Yrs,0.04
22 Yrs,0 Yr,0.02919708
22 Yrs,10 Yrs,0.02189781
22 Yrs,11 Yrs,0.02919708
22 Yrs,12 Yrs,0.058394161
22 Yrs,13 Yrs,0.01459854
22 Yrs,14 Yrs,0.04379562
22 Yrs,15 Yrs,0.04379562
22 Yrs,16 Yrs,0.058394161
22 Yrs,17 Yrs,0.058394161
22 Yrs,18 Yrs,0.065693431
22 Yrs,19 Yrs,0.02189781
22 Yrs,2 Yrs,0.00729927
22 Yrs,20 Yrs,0.072992701
22 Yrs,21 Yrs,0.058394161
22 Yrs,22 Yrs,0.087591241
22 Yrs,23 Yrs,0.02189781
22 Yrs,24 Yrs,0.03649635
22 Yrs,3 Yrs,0.00729927
22 Yrs,5 Yrs,0.01459854
22 Yrs,6 Yrs,0.00729927
22 Yrs,7 Yrs,0.00729927
22 Yrs,9 Yrs,0.01459854
22 Yrs,> 25 Yrs,0.218978102
23 Yrs,15 Yrs,0.083333333
23 Yrs,16 Yrs,0.083333333
23 Yrs,18 Yrs,0.083333333
23 Yrs,19 Yrs,0.166666667
23 Yrs,20 Yrs,0.166666667
23 Yrs,21 Yrs,0.083333333
23 Yrs,22 Yrs,0.166666667
23 Yrs,23 Yrs,0.083333333
23 Yrs,4 Yrs,0.083333333
24 Yrs,0 Yr,0.015037594
24 Yrs,1 Yr,0.015037594
24 Yrs,11 Yrs,0.007518797
24 Yrs,12 Yrs,0.022556391
24 Yrs,14 Yrs,0.045112782
24 Yrs,15 Yrs,0.060150376
24 Yrs,16 Yrs,0.07518797
24 Yrs,17 Yrs,0.052631579
24 Yrs,18 Yrs,0.022556391
24 Yrs,19 Yrs,0.052631579
24 Yrs,20 Yrs,0.112781955
24 Yrs,21 Yrs,0.060150376
24 Yrs,22 Yrs,0.07518797
24 Yrs,23 Yrs,0.067669173
24 Yrs,24 Yrs,0.067669173
24 Yrs,5 Yrs,0.007518797
24 Yrs,6 Yrs,0.015037594
24 Yrs,8 Yrs,0.015037594
24 Yrs,9 Yrs,0.007518797
24 Yrs,> 25 Yrs,0.203007519
3 Yrs,0 Yr,0.343309709
3 Yrs,1 Yr,0.192383229
3 Yrs,10 Yrs,0.008304158
3 Yrs,11 Yrs,0.003330202
3 Yrs,12 Yrs,0.003906584
3 Yrs,13 Yrs,0.001985313
3 Yrs,14 Yrs,0.002369567
3 Yrs,15 Yrs,0.002497652
3 Yrs,16 Yrs,0.002241482
3 Yrs,17 Yrs,0.001152762
3 Yrs,18 Yrs,0.0012595
3 Yrs,19 Yrs,0.000725813
3 Yrs,2 Yrs,0.167662881
3 Yrs,20 Yrs,0.001408932
3 Yrs,21 Yrs,0.000640424
3 Yrs,22 Yrs,0.000576381
3 Yrs,23 Yrs,0.000469644
3 Yrs,24 Yrs,0.000448296
3 Yrs,3 Yrs,0.128661088
3 Yrs,4 Yrs,0.044979079
3 Yrs,5 Yrs,0.035223294
3 Yrs,6 Yrs,0.018892494
3 Yrs,7 Yrs,0.014879173
3 Yrs,8 Yrs,0.011570319
3 Yrs,9 Yrs,0.00753565
3 Yrs,> 25 Yrs,0.003586372
4 Yrs,0 Yr,0.2792607
4 Yrs,1 Yr,0.186381323
4 Yrs,10 Yrs,0.008365759
4 Yrs,11 Yrs,0.003735409
4 Yrs,12 Yrs,0.004046693
4 Yrs,13 Yrs,0.002529183
4 Yrs,14 Yrs,0.002801556
4 Yrs,15 Yrs,0.00307393
4 Yrs,16 Yrs,0.002840467
4 Yrs,17 Yrs,0.001245136
4 Yrs,18 Yrs,0.001206226
4 Yrs,19 Yrs,0.000505837
4 Yrs,2 Yrs,0.16618677
4 Yrs,20 Yrs,0.001439689
4 Yrs,21 Yrs,0.000583658
4 Yrs,22 Yrs,0.00077821
4 Yrs,23 Yrs,0.000583658
4 Yrs,24 Yrs,0.000466926
4 Yrs,3 Yrs,0.146809339
4 Yrs,4 Yrs,0.09770428
4 Yrs,5 Yrs,0.035058366
4 Yrs,6 Yrs,0.018754864
4 Yrs,7 Yrs,0.013501946
4 Yrs,8 Yrs,0.011206226
4 Yrs,9 Yrs,0.008054475
4 Yrs,> 25 Yrs,0.002879377
5 Yrs,0 Yr,0.143600285
5 Yrs,1 Yr,0.160758485
5 Yrs,10 Yrs,0.009900575
5 Yrs,11 Yrs,0.004195159
5 Yrs,12 Yrs,0.005579561
5 Yrs,13 Yrs,0.002852708
5 Yrs,14 Yrs,0.00369174
5 Yrs,15 Yrs,0.003314175
5 Yrs,16 Yrs,0.00289466
5 Yrs,17 Yrs,0.001636112
5 Yrs,18 Yrs,0.00184587
5 Yrs,19 Yrs,0.001174644
5 Yrs,2 Yrs,0.179091329
5 Yrs,20 Yrs,0.002181483
5 Yrs,21 Yrs,0.00079708
5 Yrs,22 Yrs,0.00104879
5 Yrs,23 Yrs,0.000503419
5 Yrs,24 Yrs,0.000587322
5 Yrs,3 Yrs,0.16486974
5 Yrs,4 Yrs,0.12522549
5 Yrs,5 Yrs,0.106515082
5 Yrs,6 Yrs,0.030624659
5 Yrs,7 Yrs,0.018458699
5 Yrs,8 Yrs,0.013760121
5 Yrs,9 Yrs,0.010907413
5 Yrs,> 25 Yrs,0.003985401
6 Yrs,0 Yr,0.093843509
6 Yrs,1 Yr,0.120774177
6 Yrs,10 Yrs,0.014452155
6 Yrs,11 Yrs,0.008149233
6 Yrs,12 Yrs,0.007958235
6 Yrs,13 Yrs,0.006175591
6 Yrs,14 Yrs,0.004711275
6 Yrs,15 Yrs,0.006048259
6 Yrs,16 Yrs,0.003310626
6 Yrs,17 Yrs,0.001973642
6 Yrs,18 Yrs,0.002737633
6 Yrs,19 Yrs,0.001655313
6 Yrs,2 Yrs,0.14299357
6 Yrs,20 Yrs,0.003947285
6 Yrs,21 Yrs,0.001973642
6 Yrs,22 Yrs,0.001400649
6 Yrs,23 Yrs,0.000763991
6 Yrs,24 Yrs,0.001273318
6 Yrs,3 Yrs,0.157636722
6 Yrs,4 Yrs,0.127586426
6 Yrs,5 Yrs,0.12134717
6 Yrs,6 Yrs,0.086903928
6 Yrs,7 Yrs,0.032405934
6 Yrs,8 Yrs,0.025530018
6 Yrs,9 Yrs,0.018590437
6 Yrs,> 25 Yrs,0.005857261
7 Yrs,0 Yr,0.062155001
7 Yrs,1 Yr,0.0624862
7 Yrs,10 Yrs,0.022852727
7 Yrs,11 Yrs,0.011812762
7 Yrs,12 Yrs,0.00927357
7 Yrs,13 Yrs,0.005961581
7 Yrs,14 Yrs,0.007065577
7 Yrs,15 Yrs,0.010598366
7 Yrs,16 Yrs,0.00640318
7 Yrs,17 Yrs,0.003974387
7 Yrs,18 Yrs,0.004305586
7 Yrs,19 Yrs,0.002539192
7 Yrs,2 Yrs,0.117134025
7 Yrs,20 Yrs,0.006623979
7 Yrs,21 Yrs,0.002318393
7 Yrs,22 Yrs,0.002318393
