JobId,count
3689067,1434
3705865,116
3709369,1477
3702685,4356
3697913,85
3707671,309
3693083,188
3690541,146
3653501,983
3660999,28
3690903,1463
3681909,639
3638211,4687
3711064,174
2007889,2440
3692203,394
3691285,299
3578113,1471
3699587,2333
3579635,357
3694313,194
3693669,139
3693741,97
3697531,215
3691349,43
3693303,162
2994785,1836
3617953,184
3563741,1070
3680519,1391
3616257,50
3532313,502
3603807,143
3710043,4606
3693831,59
3710085,624
3557637,129
3696553,1876
3698411,165
3699061,163
3706743,76
3611117,2876
3709235,1887
3680453,577
3668029,3570
3710471,3155
3711627,652
3688871,745
3707263,195
3695501,85
3702611,183
3704735,395
3690827,40
3681213,5178
3625339,517
3705565,287
3691509,170
3702735,1334
3545001,2830
3700211,777
3687423,1639
3697767,250
3647055,5336
3538583,228
3603761,7113
3693695,127
1758907,2492
3691695,41
3705585,57
3422917,344
3695315,258
3709531,272
3711831,1917
3710385,5311
3702945,275
3709375,73
3692375,49
3430817,1629
3687919,1534
3693367,92
3693617,340
3706401,223
3697223,162
3691089,203
3646381,883
3616801,1314
3590487,1125
3692023,75
3673051,1840
3710777,1568
3690669,99
3693805,277
3705637,70
3690593,325
3707173,62
3689125,148
3691235,25
3692593,287
3696509,1206
3566155,1424
3697635,328
3705683,396
3115705,1227
3692411,31
3696421,92
3366629,3096
3690313,121
3694255,169
3461875,1979
3689095,314
3699387,2394
3709463,69
3706409,122
3691491,178
3701813,654
3698125,499
3696453,2147
3693461,77
3701681,250
3692155,79
3703849,77
3692919,24
3695757,29
3712393,7818
3512019,1366
3680857,110
3693365,52
3701429,343
3703271,455
3590293,5552
3702791,1213
3706967,59
3701863,1277
3692657,149
3707403,134
3660913,2284
3710371,2428
3696887,1563
3694627,293
3709607,45
3691389,79
2868129,594
3702401,957
3341707,3686
3689093,82
3693063,308
3701979,427
3578225,952
3699047,186
3688657,100
3700073,753
3089273,2887
3695881,98
3697307,202
3690399,856
3691043,879
3693591,80
3689853,1188
3706129,112
3632757,638
3700107,1224
3499678,190
3703089,390
3709337,38
3696267,97
3696503,189
3626575,1774
3697389,255
3707209,280
3525121,1489
3699969,82
3697841,156
3700949,208
2671865,1645
3690409,30
3693593,86
3706381,396
3694955,25
3698149,120
3689461,905
3468107,2231
3702385,506
3691137,8
3682173,566
3697935,71
3704181,66
3704225,226
3708941,641
3647485,145
3710217,687
3701999,859
3530691,520
3693413,78
3703901,327
3707449,567
3497797,629
2238721,10151
3691953,136
3618777,411
3693649,68
3709061,2104
3701943,456
3645739,726
3697855,191
3703639,324
3692415,28
3701637,72
3709545,279
3696105,102
2423315,3276
3692049,66
3661217,187
3692981,76
3681665,919
3696349,201
3615001,14247
3697157,1107
3710369,970
3692035,112
2995337,1310
3662487,395
3697221,420
3578151,81
3696383,158
3710069,989
3646854,2298
3701993,1004
3695583,396
3578731,337
3691141,301
3606097,1357
3696477,200
3687665,667
3693351,118
3705137,44
3688619,136
3696499,669
3693893,97
3564669,898
3705491,178
3702745,1022
3712737,1726
3691095,88
3692217,63
3698451,325
3697937,173
3689083,321
3639145,291
3709097,2768
3692047,24
3708599,155
3702693,398
3699517,195
3700909,62
3695437,431
3552007,1018
3662263,2098
3696991,1340
3693821,98
3689581,224
3698143,113
3571241,342
3700665,49
3690605,244
3693331,190
3690381,507
3688239,371
3604509,8411
3592277,8010
3689327,15
3688777,104
3698697,804
3686668,1120
3690075,184
3563151,439
3703699,498
3709527,1081
3655689,983
3687747,182
3690935,162
3706495,73
3699357,177
3694853,119
3704609,929
3570043,6166
3668451,1119
3699879,130
3668627,2943
3696027,760
3706577,370
3509690,671
3701877,453
3708803,287
3695083,135
3690839,74
3700127,109
2019277,778
3693431,184
3699147,375
3693859,45
3693539,24
3645865,880
3632997,33
3702723,178
3690373,168
3544831,639
3590543,1710
3701961,1558
3002757,1159
3530937,2699
3583515,4450
3709759,384
3700193,165
3688947,2630
3679805,86
3696111,385
3697015,280
3689451,1272
3619089,210
3694701,94
3524935,764
3702071,558
3633137,1157
3698627,366
3695725,849
3710455,375
3693355,151
3702749,273
3709901,141
3694791,57
3706223,89
3706221,267
3690573,85
3689103,328
3690639,103
3702701,397
3513421,155
3692627,111
3703207,234
3696555,1885
3708659,1523
3692183,87
3703361,630
3697933,418
3689485,2780
3697317,218
3694915,50
3695101,3958
3672843,4515
3691149,90
3700167,341
3709587,77
3698669,97
3709319,119
3691369,399
3653361,530
3525405,2174
3667817,586
3653387,2298
3700635,66
3697093,1562
3702289,211
3652863,280
3694187,134
3696587,51
3693121,125
3697363,331
3689217,1269
3706801,21
3696367,1088
3711903,1000
3499705,5343
3699727,205
3693855,21
3690375,110
3689629,980
3690999,112
3706315,72
3692381,52
3690831,240
3513237,1210
3652719,992
3025655,3219
3698311,122
3690341,128
3694665,85
3701525,142
3709459,599
3681527,3502
3619351,3917
3696789,5507
3461861,3921
3693299,166
3712553,582
3697427,361
3697547,1072
3699533,208
3700717,70
3695859,111
3695949,325
3690395,111
3702641,4914
3693523,46
3708483,71
3707721,109
3709783,816
3703107,1065
3696853,3698
3704961,348
3699615,255
3699557,1095
3692699,182
3709917,850
3711243,2699
3692511,107
3630749,1243
3693843,181
3699573,2031
3692661,129
3701753,77
3697321,786
3625739,1315
3699223,1269
3681977,2008
3632831,24431
3604603,16617
3692167,405
3585543,1122
3691015,564
3710561,490
3699683,1733
3690949,451
3706795,95
3691199,318
3691891,99
3704499,85
3688329,164
3689689,659
3686749,202
3708563,182
3699733,399
3513517,1387
3698379,1979
